Number,Month,cat memes,bad luck brian,philosoraptor
1,2004-01,0,1,0
2,2004-02,0,0,0
3,2004-03,0,0,2
4,2004-04,0,0,0
5,2004-05,0,0,0
6,2004-06,0,0,1
7,2004-07,0,0,1
8,2004-08,0,0,2
9,2004-09,0,0,0
10,2004-10,0,0,0
11,2004-11,0,0,1
12,2004-12,0,0,0
13,2005-01,0,0,0
14,2005-02,0,0,0
15,2005-03,0,0,1
16,2005-04,0,0,0
17,2005-05,0,0,0
18,2005-06,0,0,0
19,2005-07,0,0,0
20,2005-08,0,0,0
21,2005-09,0,0,1
22,2005-10,0,0,0
23,2005-11,0,0,1
24,2005-12,0,0,0
25,2006-01,0,0,1
26,2006-02,0,0,1
27,2006-03,0,0,1
28,2006-04,0,0,0
29,2006-05,0,0,0
30,2006-06,0,0,1
31,2006-07,0,0,1
32,2006-08,0,0,0
33,2006-09,0,0,0
34,2006-10,0,0.2,1
35,2006-11,1,0,0.8
36,2006-12,0,0,0.6
37,2007-01,0,0,1
38,2007-02,0.3,0,0
39,2007-03,0.5,0,0
40,2007-04,0.7,0,0
41,2007-05,1,0,0
42,2007-06,1,0,0.4
43,2007-07,1,0,0.5
44,2007-08,0.8,0,0.3
45,2007-09,1,0.3,0
46,2007-10,1,0,0.2
47,2007-11,0.9,0,0.4
48,2007-12,0.5,0,0.3
49,2008-01,0.6,0,0.5
50,2008-02,0.3,0.2,0.2
51,2008-03,0,0,0
52,2008-04,1,0,0.3
53,2008-05,0.7,0,0.4
54,2008-06,0.4,0,0.5
55,2008-07,0.3,0.1,0.3
56,2008-08,0,0,0
57,2008-09,0.4,0,0.2
58,2008-10,0.2,0,0.4
59,2008-11,0,0,0.6
60,2008-12,0,0,0.8
61,2009-01,0,0,1
62,2009-02,0.1,0,2
63,2009-03,0,0,3
64,2009-04,0,0,4
65,2009-05,0.5,0,2
66,2009-06,0.2,0,3
67,2009-07,0,0,3
68,2009-08,0.3,0.1,3
69,2009-09,0.3,0,5
70,2009-10,0.5,0,6
71,2009-11,0.4,0,5
72,2009-12,0.6,0.2,6
73,2010-01,0.5,0,5
74,2010-02,0.7,0,7
75,2010-03,0.5,0,7
76,2010-04,0.6,0.2,7
77,2010-05,0.9,0.1,5
78,2010-06,0.8,0.2,5
79,2010-07,0.5,0,5
80,2010-08,1,0.3,6
81,2010-09,0.9,0.1,6
82,2010-10,0.7,0,13
83,2010-11,0.8,0.2,25
84,2010-12,0.9,0.2,19
85,2011-01,1,0,16
86,2011-02,1,0,17
87,2011-03,0.9,0,14
88,2011-04,0.8,0,13
89,2011-05,1,0,13
90,2011-06,1,0,11
91,2011-07,1,0,12
92,2011-08,1,0,13
93,2011-09,1,0,18
94,2011-10,2,0,20
95,2011-11,2,0,27
96,2011-12,2,0.8,26
97,2012-01,2,0.9,25
98,2012-02,4,0.9,28
99,2012-03,5,12,26
100,2012-04,6,52,24
101,2012-05,5,72,20
102,2012-06,5,100,18
103,2012-07,6,80,16
104,2012-08,6,60,13
105,2012-09,8,77,13
106,2012-10,10,72,11
107,2012-11,16,64,12
108,2012-12,30,60,12
109,2013-01,21,63,9
110,2013-02,22,54,9
111,2013-03,24,44,9
112,2013-04,21,39,9
113,2013-05,19,34,7
114,2013-06,16,30,8
115,2013-07,14,23,6
116,2013-08,14,24,6
117,2013-09,17,20,6
118,2013-10,18,19,6
119,2013-11,15,17,6
120,2013-12,17,20,5
121,2014-01,17,16,5
122,2014-02,18,14,5
123,2014-03,18,15,5
124,2014-04,18,15,5
125,2014-05,17,14,4
126,2014-06,17,14,4
127,2014-07,15,12,4
128,2014-08,16,9,4
129,2014-09,19,10,5
130,2014-10,22,10,5
131,2014-11,23,11,4
132,2014-12,27,10,5
133,2015-01,26,13,4
134,2015-02,26,11,5
135,2015-03,29,13,5
136,2015-04,29,12,5
137,2015-05,31,10,6
138,2015-06,28,7,6
139,2015-07,26,8,5
140,2015-08,31,8,4
141,2015-09,38,10,5
142,2015-10,43,11,4
143,2015-11,45,9,4
144,2015-12,46,10,4
145,2016-01,40,9,3
146,2016-02,45,8,3
147,2016-03,44,8,3
148,2016-04,44,8,3
149,2016-05,45,8,3
150,2016-06,35,6,3
151,2016-07,31,6,3
152,2016-08,34,6,2
153,2016-09,47,6,3
154,2016-10,50,8,3
155,2016-11,52,6,3
156,2016-12,51,6,2
157,2017-01,52,6,2
158,2017-02,60,6,2
159,2017-03,56,6,3
160,2017-04,48,5,2
161,2017-05,49,6,3
162,2017-06,37,4,2
163,2017-07,34,4,2
164,2017-08,36,4,2
165,2017-09,47,4,2
166,2017-10,51,4,2
167,2017-11,52,5,2
168,2017-12,50,4,2
169,2018-01,48,5,1
170,2018-02,50,5,2
171,2018-03,46,4,2
172,2018-04,45,6,2
173,2018-05,45,5,2
174,2018-06,30,3,2
175,2018-07,26,3,2
176,2018-08,33,4,2
177,2018-09,47,4,2
178,2018-10,53,29,2
179,2018-11,50,5,1
180,2018-12,50,4,1
181,2019-01,47,4,1
182,2019-02,47,3,1
183,2019-03,50,3,1
184,2019-04,47,4,1
185,2019-05,63,3,1
186,2019-06,32,3,1
187,2019-07,28,2,1
188,2019-08,35,2,1
189,2019-09,44,3,1
190,2019-10,47,3,1
